timestamp,strategy,mode,action,direction,symbol,right,strike,expiry,qty,spot,entry_price,exit_price,pnl,cum_pnl,reason,ref
2026-08-04 09:15:04,Renko,PAPER,ENTRY,SHORT,NIFTY-Aug2026-24650-PE,PE,24650.0,2026-08-11,65,24643.7,156.35,,,,,
2026-08-04 09:20:19,Delta20Hedged,PAPER,ENTRY,PE,NIFTY-Aug2026-24500-PE,PE,24500.0,2026-08-04,65,,12.8,,,,,
2026-08-04 09:20:19,Delta20Hedged,PAPER,ENTRY,PE,NIFTY-Aug2026-24300-PE,PE,24300.0,2026-08-04,65,,2.0,,,,,
2026-08-04 09:25:07,Opening Range Breakout,PAPER,ENTRY,LONG,NIFTY-Aug2026-24600-CE,CE,24600.0,2026-08-11,65,24615.85,154.35,,,,,
2026-08-04 09:26:00,Delta20Hedged,PAPER,ENTRY,CE,NIFTY-Aug2026-24700-CE,CE,24700.0,2026-08-04,65,,15.25,,,,,
2026-08-04 09:26:00,Delta20Hedged,PAPER,ENTRY,CE,NIFTY-Aug2026-24900-CE,CE,24900.0,2026-08-04,65,,1.55,,,,,
2026-08-04 09:29:07,Volatility Breakout,PAPER,ENTRY,SHORT,NIFTY-Aug2026-24600-PE,PE,24600.0,2026-08-11,65,24596.85,136.0,,,,,
2026-08-04 09:29:09,ML Ensemble,PAPER,ENTRY,LONG,NIFTY-Aug2026-24600-CE,CE,24600.0,2026-08-11,65,24596.85,147.3,,,,,
2026-08-04 09:30:05,LongStrangle,PAPER,ENTRY,CE,NIFTY-Aug2026-24650-CE,CE,24650.0,2026-08-04,65,24599.65,25.1,,,,,
2026-08-04 09:30:07,LongStrangle,PAPER,ENTRY,PE,NIFTY-Aug2026-24550-PE,PE,24550.0,2026-08-04,65,24599.65,28.15,,,,,
2026-08-04 09:31:01,LongStrangle,PAPER,EXIT,PE,NIFTY-Aug2026-24550-PE,PE,24550.0,2026-08-04,65,,28.15,26.5,-107.24999999999991,,STOP_LOSS,
2026-08-04 09:31:54,LongStrangle,PAPER,EXIT,CE,NIFTY-Aug2026-24650-CE,CE,24650.0,2026-08-04,65,,25.1,24.55,-35.75000000000004,,TRAILING_SL,
2026-08-04 09:32:10,LongStrangle,PAPER,ENTRY,PE,NIFTY-Aug2026-24550-PE,PE,24550.0,2026-08-04,65,24598.2,28.15,,,,,
2026-08-04 09:32:22,LongStrangle,PAPER,EXIT,PE,NIFTY-Aug2026-24550-PE,PE,24550.0,2026-08-04,65,,28.15,26.5,-107.24999999999991,,STOP_LOSS,
2026-08-04 09:32:32,LongStrangle,PAPER,ENTRY,PE,NIFTY-Aug2026-24550-PE,PE,24550.0,2026-08-04,65,24596.7,28.8,,,,,
2026-08-04 09:32:48,LongStrangle,PAPER,EXIT,PE,NIFTY-Aug2026-24550-PE,PE,24550.0,2026-08-04,65,,28.8,27.3,-97.5,,STOP_LOSS,
2026-08-04 09:32:52,LongStrangle,PAPER,ENTRY,PE,NIFTY-Aug2026-24550-PE,PE,24550.0,2026-08-04,65,24594.5,29.0,,,,,
2026-08-04 09:33:24,LongStrangle,PAPER,EXIT,PE,NIFTY-Aug2026-24550-PE,PE,24550.0,2026-08-04,65,,29.0,29.2,12.999999999999954,,TRAILING_SL,
2026-08-04 09:34:23,LongStrangle,PAPER,ENTRY,PE,NIFTY-Aug2026-24550-PE,PE,24550.0,2026-08-04,65,24591.95,31.15,,,,,
2026-08-04 09:35:31,LongStrangle,PAPER,EXIT,PE,NIFTY-Aug2026-24550-PE,PE,24550.0,2026-08-04,65,,31.15,29.3,-120.24999999999986,,TRAILING_SL,
2026-08-04 09:40:17,LongStrangle,PAPER,ENTRY,CE,NIFTY-Aug2026-24650-CE,CE,24650.0,2026-08-04,65,24605.55,25.85,,,,,
2026-08-04 09:41:15,LongStrangle,PAPER,EXIT,CE,NIFTY-Aug2026-24650-CE,CE,24650.0,2026-08-04,65,,25.85,25.35,-32.5,,TRAILING_SL,
2026-08-04 09:41:25,LongStrangle,PAPER,ENTRY,CE,NIFTY-Aug2026-24650-CE,CE,24650.0,2026-08-04,65,24611.7,26.65,,,,,
2026-08-04 09:44:06,DonchianBearish,PAPER,ENTRY,SHORT,NIFTY-Aug2026-24450-CE,CE,24450.0,2026-08-04,65,,174.8,,,,,
2026-08-04 09:44:06,DonchianBearish,PAPER,ENTRY,SHORT,NIFTY-Aug2026-24750-CE,CE,24750.0,2026-08-04,65,,7.55,,,,,
2026-08-04 09:44:07,Stochastic Oscillator,PAPER,ENTRY,LONG,NIFTY-Aug2026-24600-CE,CE,24600.0,2026-08-11,65,24624.4,154.55,,,,,
2026-08-04 09:44:13,Renko,PAPER,EXIT,SHORT,NIFTY-Aug2026-24650-PE,PE,24650.0,2026-08-11,65,,156.35,146.95,-611.0000000000003,,RR_GREEN_CANDLE,
2026-08-04 09:44:40,LongStrangle,PAPER,EXIT,CE,NIFTY-Aug2026-24650-CE,CE,24650.0,2026-08-04,65,,26.65,29.1,159.25000000000017,,TRAILING_SL,
2026-08-04 09:47:17,LongStrangle,PAPER,ENTRY,CE,NIFTY-Aug2026-24650-CE,CE,24650.0,2026-08-04,65,24631.2,31.6,,,,,
2026-08-04 09:49:13,LongStrangle,PAPER,EXIT,CE,NIFTY-Aug2026-24650-CE,CE,24650.0,2026-08-04,65,,31.6,30.8,-52.00000000000004,,TRAILING_SL,
2026-08-04 09:49:39,LongStrangle,PAPER,ENTRY,CE,NIFTY-Aug2026-24650-CE,CE,24650.0,2026-08-04,65,24634.7,32.75,,,,,
